run_id,listed_in_viewer,index_frame_count,distinct_measured_times,first_t_tcc,last_t_tcc,mesh_bytes,scientific_status,index_url,issues
apkcool_L5_chi10,True,21,21,0.0,5.0,3885750,historical; cooling was NOT enabled,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkcool_L5_chi10/index.json,
apkcool_L5_chi100,True,21,21,0.0,5.0,2267454,historical; cooling was NOT enabled,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkcool_L5_chi100/index.json,
apkcool_L5_chi1000,True,21,21,0.0,5.0,2169670,historical; cooling was NOT enabled,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkcool_L5_chi1000/index.json,
apkcool_L6_chi10,True,19,19,0.0,4.501,15136747,historical; cooling was NOT enabled,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkcool_L6_chi10/index.json,
apkcool_L6_chi100,True,13,13,0.0,2.761,4459547,historical; cooling was NOT enabled,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/apkcool_L6_chi100/index.json,
arepo_L3_chi10,True,101,101,0.0,5.0,1730308,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/arepo_L3_chi10/index.json,
arepo_L3_chi100,True,101,101,0.0,5.0,457992,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/arepo_L3_chi100/index.json,
arepo_L3_chi1000,True,101,101,0.0,5.0,467367,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/arepo_L3_chi1000/index.json,
arepo_L4_chi10,True,101,101,0.0,5.0,14602558,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/arepo_L4_chi10/index.json,
arepo_L4_chi100,True,101,101,0.0,5.0,2179493,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/arepo_L4_chi100/index.json,
arepo_L4_chi1000,True,74,74,0.0,3.652,1665907,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/arepo_L4_chi1000/index.json,
arepo_L5_chi10,True,101,101,0.0,5.0,4703193,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/arepo_L5_chi10/index.json,
athppM05_L4_chi10,True,21,21,0.0,5.0,961992,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athppM05_L4_chi10/index.json,
athppM05_L4_chi100,True,21,21,0.0,5.0,279068,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athppM05_L4_chi100/index.json,
athppM05_L4_chi1000,True,21,21,0.0,5.0,282724,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athppM05_L4_chi1000/index.json,
athppM15_L4_chi10,True,16,16,0.0,5.003,472316,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athppM15_L4_chi10/index.json,
athppM15_L4_chi100,True,16,16,0.0,5.0,336886,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athppM15_L4_chi100/index.json,
athppM15_L4_chi1000,True,16,16,0.0,5.001,335363,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athppM15_L4_chi1000/index.json,
athppM5_L4_chi10,True,21,21,0.0,2.0,3318966,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athppM5_L4_chi10/index.json,
athppM5_L4_chi100,True,21,21,0.0,2.0,414910,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athppM5_L4_chi100/index.json,
athppM5_L4_chi1000,True,21,21,0.0,2.0,371255,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athppM5_L4_chi1000/index.json,
athpp_L1_chi10,True,50,50,0.0,5.0,16728,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L1_chi10/index.json,
athpp_L1_chi100,True,101,101,0.0,5.0,15468,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L1_chi100/index.json,
athpp_L1_chi1000,True,101,101,0.0,5.0,19168,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L1_chi1000/index.json,
athpp_L2_chi10,True,42,42,0.0,5.0,17183,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L2_chi10/index.json,
athpp_L2_chi100,True,101,101,0.0,5.0,22755,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L2_chi100/index.json,
athpp_L2_chi1000,True,101,101,0.0,5.0,21127,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L2_chi1000/index.json,
athpp_L3_chi10,True,101,101,0.0,5.0,510190,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L3_chi10/index.json,
athpp_L3_chi100,True,101,101,0.0,5.0,262874,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L3_chi100/index.json,
athpp_L3_chi1000,True,101,101,0.0,5.0,240624,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L3_chi1000/index.json,
athpp_L4_chi10,True,21,21,0.0,5.0,837711,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L4_chi10/index.json,
athpp_L4_chi100,True,21,21,0.0,5.0,439060,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L4_chi100/index.json,
athpp_L4_chi1000,True,21,21,0.0,5.0,410129,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L4_chi1000/index.json,
athpp_L5_chi10,True,21,21,0.0,5.0,3891829,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L5_chi10/index.json,
athpp_L5_chi100,True,21,21,0.0,5.0,2269616,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L5_chi100/index.json,
athpp_L5_chi1000,True,21,21,0.0,5.0,2212160,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L5_chi1000/index.json,
athpp_L6_chi10,True,88,88,0.0,4.352,68398441,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L6_chi10/index.json,
