No data_format specified in output block 'output2', using default
No data_format specified in output block 'output2', using default

Setup complete, entering main loop...

cycle=1570 time=4.9721522436472576e+01 dt=3.1679046002119765e-02
cycle=1580 time=5.0038337633459037e+01 dt=3.1686522931605593e-02
cycle=1590 time=5.0355130268888281e+01 dt=3.1670256831040154e-02
cycle=1600 time=5.0671811845540283e+01 dt=3.1669488895189113e-02
cycle=1610 time=5.0988519207394617e+01 dt=3.1668101235279321e-02
cycle=1620 time=5.1305118916766489e+01 dt=3.1650251233862066e-02
cycle=1630 time=5.1621604075077407e+01 dt=3.1649800668379677e-02
cycle=1640 time=5.1938122723529936e+01 dt=3.1654475649353246e-02
cycle=1650 time=5.2254664425007483e+01 dt=3.1646078958231870e-02
cycle=1660 time=5.2571030567260095e+01 dt=3.1626450106847739e-02
cycle=1670 time=5.2887234636874219e+01 dt=3.1614297720826370e-02
cycle=1680 time=5.3203360369068179e+01 dt=3.1612490956877431e-02
cycle=1690 time=5.3519521848200597e+01 dt=3.1620715700577444e-02
cycle=1700 time=5.3835696011453244e+01 dt=3.1609390551895267e-02
cycle=1710 time=5.4151725165360048e+01 dt=3.1590341591527557e-02
cycle=1720 time=5.4467525184499301e+01 dt=3.1568960494598432e-02
cycle=1730 time=5.4783222314008178e+01 dt=3.1579975018779800e-02
cycle=1740 time=5.5099101192119946e+01 dt=3.1585838460638421e-02
cycle=1750 time=5.5414833740945539e+01 dt=3.1563306002843565e-02
cycle=1760 time=5.5730450970048388e+01 dt=3.1561510258770291e-02
cycle=1770 time=5.6046013946061514e+01 dt=3.1547554290281436e-02
cycle=1780 time=5.6361431648498396e+01 dt=3.1529172650686374e-02
cycle=1790 time=5.6676555912256326e+01 dt=3.1494164603090388e-02
cycle=1800 time=5.6991416472225268e+01 dt=3.1479568188869766e-02
cycle=1810 time=5.7306205974349595e+01 dt=3.1479183770203499e-02
cycle=1820 time=5.7620922217827918e+01 dt=3.1459402193108381e-02
cycle=1830 time=5.7935310956871426e+01 dt=3.1422277394223798e-02
cycle=1840 time=5.8249471436670611e+01 dt=3.1406587261608394e-02
cycle=1850 time=5.8563478517514788e+01 dt=3.1394133302948220e-02
cycle=1860 time=5.8877350483376020e+01 dt=3.1383817234497006e-02
cycle=1870 time=5.9190992816862753e+01 dt=3.1350787327802838e-02
cycle=1880 time=5.9504453012673814e+01 dt=3.1339663625896352e-02
cycle=1890 time=5.9817845544982490e+01 dt=3.1341897957042140e-02
cycle=1900 time=6.0131293901367926e+01 dt=3.1337256073067997e-02
cycle=1910 time=6.0444564689229622e+01 dt=3.1318702390701003e-02
cycle=1920 time=6.0757690247798543e+01 dt=3.1307885914196754e-02
cycle=1930 time=6.1070604336094299e+01 dt=3.1273745465513626e-02

Terminating on time limit
time=6.1237243569579448e+01 cycle=1936
tlim=6.1237243569579448e+01 nlim=-1

zone-cycles = 126877696
cpu time used  = 2.2888643999999999e+01
zone-cycles/cpu_second = 5.5432596181757208e+06
