######################################
###### Cloud in wind problem generator
#### Input parameters
## Cloud radius: 3.2e-22 kpc
## Cloud density: 1e+02 g/cm^3
## Wind density: 1 g/cm^3
## Wind temperature: 6.1e-09 K
## Wind velocity: 2.6e-05 km/s
#### Derived parameters
## Cloud temperature (from pressure equ.): 6.1e-11 K
## Cloud to wind density ratio: 1e+02
## Cloud to wind temperature ratio: 0.01
## Uniform pressure (code units): 1
## Wind sonic Mach: 2
## Cloud crushing time: 1.2e-13 Myr
######################################
Starting up hydro driver
### PARTHENON WARNING
  Message:     The following input parameters are set but unused:
comment/problem


  File:        /home/kaan/codes/athenapk/external/parthenon/src/parameter_input.cpp
  Line number: 687
# Variables in use:
# Package: parthenon::resolved_state
# ---------------------------------------------------
# Variables:
# Name	Metadata flags
# ---------------------------------------------------
prim                      Cell,Provides,Real,Derived,Hydro,parthenon::resolved_state
cons                      Cell,Provides,Real,Independent,FillGhost,WithFluxes,Hydro,parthenon::resolved_state
bnd_flux::cons            Face,Provides,Real,Derived,OneCopy,Flux,CellMemAligned,parthenon::resolved_state
# ---------------------------------------------------
# Sparse Variables:
# Name	sparse id	Metadata flags
# ---------------------------------------------------
# ---------------------------------------------------
# Swarms:
# Swarm	Value	metadata
# ---------------------------------------------------


Setup complete, executing driver...

cycle=7500 time=6.9212688107895506e+00 dt=9.3090068135233536e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.63e+02 wsec_step=1.77e+00
cycle=7600 time=7.0145032005496466e+00 dt=9.3314136055591907e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.65e+02 wsec_step=1.78e+00
cycle=7700 time=7.1077623623498409e+00 dt=9.3168694155717666e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=1.66e+02 wsec_step=1.76e+00
cycle=7800 time=7.2008079829891321e+00 dt=9.2880226628449169e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=1.68e+02 wsec_step=1.76e+00
cycle=7900 time=7.2935428015390222e+00 dt=9.2653324720080019e-04 zone-cycles/wsec_step=4.63e+07 wsec_total=1.73e+02 wsec_step=4.53e+00
cycle=8000 time=7.3862751253009060e+00 dt=9.2843634320488556e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.74e+02 wsec_step=1.78e+00
cycle=8100 time=7.4792182118147137e+00 dt=9.3101978868837974e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.76e+02 wsec_step=1.78e+00
cycle=8200 time=7.5726276828126746e+00 dt=9.3727145087872448e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.78e+02 wsec_step=1.78e+00
cycle=8300 time=7.6664272876376875e+00 dt=9.3914398688158668e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.80e+02 wsec_step=1.78e+00
cycle=8400 time=7.7605554257761966e+00 dt=9.4233786705783028e-04 zone-cycles/wsec_step=4.58e+07 wsec_total=1.84e+02 wsec_step=4.58e+00
cycle=8500 time=7.8548213300554899e+00 dt=9.4328069860155335e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.86e+02 wsec_step=1.78e+00
cycle=8600 time=7.9491699551109702e+00 dt=9.4414840223298641e-04 zone-cycles/wsec_step=1.17e+08 wsec_total=1.88e+02 wsec_step=1.79e+00
cycle=8700 time=8.0435079556069073e+00 dt=9.4246924157107177e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=1.90e+02 wsec_step=1.76e+00
cycle=8800 time=8.1376912243790578e+00 dt=9.4124355890659096e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.91e+02 wsec_step=1.77e+00
cycle=8900 time=8.2317508720104655e+00 dt=9.3988587864661055e-04 zone-cycles/wsec_step=4.74e+07 wsec_total=1.96e+02 wsec_step=4.42e+00
cycle=9000 time=8.3256663417920684e+00 dt=9.3838992398240510e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=1.98e+02 wsec_step=1.78e+00
cycle=9100 time=8.4194279957325389e+00 dt=9.3672342078848477e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=1.99e+02 wsec_step=1.77e+00
cycle=9200 time=8.5130096138847193e+00 dt=9.3491349462206672e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=2.01e+02 wsec_step=1.76e+00
cycle=9300 time=8.6064096163290422e+00 dt=9.3311681256639785e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=2.03e+02 wsec_step=1.77e+00
cycle=9400 time=8.6996413412369105e+00 dt=9.3153781822561755e-04 zone-cycles/wsec_step=1.17e+08 wsec_total=2.05e+02 wsec_step=1.79e+00
cycle=9500 time=8.7927330335971163e+00 dt=9.3033844879914721e-04 zone-cycles/wsec_step=4.78e+07 wsec_total=2.09e+02 wsec_step=4.38e+00
cycle=9600 time=8.8857508897135080e+00 dt=9.3021733419664855e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=2.11e+02 wsec_step=1.76e+00
